feature,importance
num__year,0.3134492783596351
num__refugees_per_1000,0.2553408441234302
cat__host_group_non_neighbor_european_host,0.19815244296915308
num__trade_pct_gdp,0.16938106299198988
num__unemployment,0.06367637155579174
num__post_conflict,0.0
cat__host_name_Jordan,0.0
cat__host_name_Turkey,0.0
cat__host_name_Sweden,0.0
cat__host_name_Spain,0.0
cat__host_name_Slovakia,0.0
cat__host_name_Romania,0.0
cat__host_name_Poland,0.0
cat__host_name_Netherlands,0.0
cat__host_name_Moldova,0.0
cat__host_name_Lebanon,0.0
cat__host_name_Iraq,0.0
cat__host_name_Italy,0.0
cat__host_name_Hungary,0.0
cat__host_name_Germany,0.0
cat__host_name_France,0.0
cat__host_name_Egypt,0.0
cat__host_name_Czechia,0.0
cat__conflict_case_Syrian Civil War,0.0
num__current_account_pct_gdp,0.0
num__inflation,0.0
num__log_refugee_stock,0.0
cat__host_group_regional_non_neighbor_host,0.0
