conflict_case,host_group,post_conflict,mean_gdp_growth,median_gdp_growth,mean_refugees_per_1000,observations
Russia-Ukraine War,neighboring_host,0,3.149989221269136,3.7901623889849354,0.004970106127386071,60
Russia-Ukraine War,neighboring_host,1,1.405952530282222,1.2000000493378,21.66649536215356,15
Russia-Ukraine War,non_neighbor_european_host,0,1.3142776527524733,1.7713181040309651,0.026602897805081863,96
Russia-Ukraine War,non_neighbor_european_host,1,1.6642183263037296,1.2117770512968349,9.708931910902296,24
Syrian Civil War,neighboring_host,0,6.308683277117142,7.188850201580625,0.01203351766659185,4
Syrian Civil War,neighboring_host,1,2.4540519350524197,2.56479133680038,54.93389077863939,55
Syrian Civil War,non_neighbor_european_host,0,3.2534263286197254,2.971810107832105,0.09625791307677908,4
Syrian Civil War,non_neighbor_european_host,1,1.4033897575147463,1.76261577558504,4.486076035528614,56
Syrian Civil War,regional_non_neighbor_host,0,5.1472348575531,5.1472348575531,8.969004823441104e-05,1
Syrian Civil War,regional_non_neighbor_host,1,3.747381511029151,3.655222680330425,1.0908141559256463,14
